,0.7_4,0.7_24,0.7_72,3.7_4,3.7_24,3.7_72
Rv0158,,,,,,-1.591289827
Rv0159c,,,,,,
Rv0160c,,,,,,
Rv0161,,,,,,
Rv0162c,,,,,,
Rv0163,,-1.271792766,-1.683500453,,-2.109859856,-1.608065715
Rv0164,,,,,-1.355051872,-1.894334042
Rv0165c,,-2.412520098,-5.07816247,,-1.477978865,-4.981009364
Rv0166,,,-3.36985391,,-1.892331744,-3.932913573
Rv0167,,-1.174153707,-2.896361056,,-1.538579816,-4.496195821
Rv0168,,,-2.509213335,-1.940050092,-2.776033479,-5.005691187
Rv0169,-1.042561259,-1.092942844,-2.712772686,-3.260336551,-4.206931157,-5.801198151
Rv0170,,,-2.675281852,-1.581034027,-2.32415959,-5.329299742
Rv0171,,-1.371431687,-2.84430349,-1.838045522,-1.958473852,-4.580415504
Rv0172,-1.830811717,-1.33723303,-3.06256153,-2.518649962,-3.263251712,-5.356704741
Rv0173,-2.127976474,-1.575435345,-3.43518971,-4.030888728,-5.277353223,-5.696816574
Rv0174,,-1.652417365,-3.110685023,-1.247418436,-1.693418038,-4.49143405
Rv0175,,,-1.379477215,,,-1.560185121
Rv0176,,,,,,-1.673794248
Rv0177,-1.271070038,-1.04706293,-1.182258662,-1.697902351,-1.718469035,-1.914323918
Rv0178,,,-1.010856001,-1.488375744,-1.348808799,-1.696645605
Rv0179c,,-1.60365824,,,-2.708729373,-3.085024405
Rv0180c,,-1.541492392,-1.255522476,-1.536165684,-2.661432053,-2.411611049
Rv0181c,-1.816776119,-1.802769207,-1.270203864,-3.142040109,-3.957807806,-1.186565067
Rv0182c,,-1.50497128,-1.162526408,-1.340451927,-2.449290316,-1.019279046
Rv0183,,-1.864398412,-1.528160352,-1.79147364,-3.505733236,-2.627207863
Rv0184,,-1.600715895,-1.13396921,-1.275694061,-2.887389154,-2.187115524
Rv0185,,-1.77895684,-1.194308909,-1.237069057,-2.716418403,-2.254008489
Rv0186,,-2.093882145,-1.739095018,-1.359061007,-2.511700839,-2.223975626
Rv0186A,,-1.545437215,,2.867345066,2.209400077,2.005512991
Rv0187,,-1.280392594,,,,
Rv0188,,-1.129107,-1.219241874,,,-1.447198436
Rv0189c,,,,,-1.14733019,
Rv0190,,,,,,
Rv0191,,,,,,1.339687783
Rv0192,,-1.05856649,,,,
Rv0193c,,,-1.218019587,,,
Rv0194,,,,,1.891594906,2.348616027
Rv0195,,,-1.937467701,,,
Rv0196,,,2.012963895,,2.790105082,3.996388159
Rv0197,,,1.774614195,,1.862523378,4.287307833
Rv0198c,,,,-1.453538258,-2.225979095,-1.215001375
Rv0199,,-1.118308664,,-1.009703818,-1.899259519,
Rv0200,,-1.035556429,,-1.315216621,-2.285795972,-1.539599807
Rv0201c,,,,,,
Rv0202c,,-1.399897746,-1.559820583,,,-1.165388173
Rv0203,,,,1.140942557,,
Rv0204c,,,,,-1.407245648,-1.405920206
Rv0205,,,,,,
Rv0206c,,-1.234788684,-1.240095265,-1.628163748,-2.134586544,-1.989450701
Rv0207c,-1.23162589,,,-1.13824884,-1.96222404,-2.742062172
Rv0208c,,,,,-2.050026439,-2.819860961
Rv0209,,,,,,1.313182755
Rv0210,,,,,,
Rv0211,,,,,,
Rv0212c,,,,,,
Rv0213c,,,,,-1.549383942,-1.794238364
Rv0214,,-1.341444904,,,,1.703270311
Rv0215c,,-1.823484758,-1.427384477,,-2.303217014,-1.961903777
Rv0216,,,-1.428065756,,,
Rv0217c,,-1.197791311,,,-1.1171607,
Rv0218,,-1.50631894,,,,
Rv0219,,-1.133959521,-1.282868205,,,
Rv0220,-1.02405027,-1.984524387,-1.747451847,-1.755873866,-3.444638614,-2.58109192
Rv0221,-1.224577151,-1.934848253,,-2.141600117,-3.842284459,-1.635218138
Rv0222,-1.714215684,-2.66778952,-1.975084324,-2.183799654,-4.137893222,-2.27215709
Rv0223c,,-1.574542759,-1.865684981,,,-1.912596455
Rv0224c,,-1.113486717,-1.286200519,,,-2.130286106
Rv0225,-1.941511258,-2.627294255,-2.236513554,-2.16777079,-3.067179856,-2.325520208
Rv0226c,,-1.113088208,-1.262473249,-1.368026427,-2.227950412,-1.449241128
Rv0227c,,-1.146162828,-1.699849986,-1.463056947,-2.135029626,-2.484012756
Rv0228,,-1.268608043,-1.19361591,,-2.418238868,-1.831504535
Rv0229c,,,,,,-1.757595262
Rv0230c,,-1.439817898,-2.266647395,,-1.327156523,-2.546014906
Rv0231,,,-1.708836701,,,-2.499406285
Rv0232,,-1.124153542,-2.285695347,,,-2.005967808
Rv0233,,-1.796872457,-3.080386008,,-1.097601537,-2.29565188
Rv0234c,,-1.267680761,,-1.547878683,-2.221901485,
Rv0235c,-1.124441098,-2.812095748,-2.236942546,-1.078032686,-3.391428235,-1.114947422
Rv0236A,,-1.2732288,,,,
Rv0236c,-1.181609257,-2.630437182,-2.180993682,,,
Rv0237,,,,,-1.695908413,-1.059755492
Rv0238,,,,,,
Rv0239,,,,,,-1.33997666
Rv0240,,,,,,
Rv0241c,,-1.839148764,-2.432371705,-1.458737502,-2.619691302,-2.718556992
Rv0242c,-1.111827516,-2.01472765,-2.526115044,-1.045291027,-2.279365183,-2.520791999
Rv0243,,-1.798110185,-2.169120973,,-1.209992092,-1.590679934
Rv0244c,,-1.012569259,,2.280868598,,
Rv0245,,,,1.152727093,,
Rv0246,,,,,1.147963271,
Rv0247c,-1.574904537,-1.713692817,-1.653151256,-5.355875103,-5.179486234,-2.745751874
Rv0248c,-1.309072797,-1.721317364,-1.736260095,-3.743999733,-4.118786643,-2.292262805
Rv0249c,,-1.675829523,-1.752602445,-1.882584825,-2.652929614,-2.016097979
Rv0250c,-1.512690113,-2.497993565,-3.587823753,-1.663679305,-2.662157403,-3.888586951
Rv0251c,-1.450989329,-1.300367026,-1.633249136,,,
Rv0252,,,,,-2.161082866,-1.106012497
Rv0253,,,,-2.078682947,-3.002476954,-1.565792177
Rv0254c,,-1.239450679,-1.29104787,,,
Rv0255c,,-1.083336093,-1.261436331,-1.125058669,,
Rv0256c,,-1.064460084,-1.117888084,,,
Rv0257,,,,,,2.23370789
Rv0258c,,-1.898732911,-2.02889931,,-1.058589033,-1.002585664
Rv0259c,,-1.274844532,,,,
Rv0260c,,,,,,
Rv0261c,,,1.535315658,,2.395235262,3.379059856
Rv0262c,,,,1.679597463,1.478515914,
Rv0263c,,,,2.936660964,2.592334931,
Rv0264c,2.876429697,,,3.135870079,2.611327101,1.07089907
Rv0265c,,-1.437780441,-1.363527863,,-1.416748219,
Rv0266c,,,,,,2.457159163
Rv0267,,,-1.095211917,,1.832680733,
Rv0268c,,,-1.597568349,1.442598853,,
Rv0269c,,-1.733697764,-2.325318875,,,-1.125499204
Rv0270,,-1.188328542,-1.960419888,,-1.104740885,-1.874632193
Rv0271c,,-1.907862411,-2.566186103,,,
Rv0272c,,-1.678923564,-1.780690872,-1.265355098,-2.543534844,
Rv0273c,,-1.681306537,-1.984269117,-1.004235196,-1.374395089,
Rv0274,,-1.84500506,-1.770511713,,,-1.158597918
Rv0275c,,,,,,
Rv0276,,,-1.775293495,,,
Rv0277A,,,,,,-1.766095255
Rv0277c,,,,,,
Rv0278c,,,,,2.440038907,3.859194833
Rv0279c,,,,2.119872941,2.749261132,3.5258095
Rv0280,,-1.740383605,-2.194805212,,,-2.186119784
Rv0281,,-1.126900111,,-1.591904184,-1.805240555,-1.074074618
Rv0282,,,,,,
Rv0283,,,-1.153932294,-2.914317698,-2.760735709,-1.182855741
Rv0284,,-1.238639307,-1.452616613,-5.091849269,-5.014759969,-2.322579201
Rv0285,-1.469804904,-1.366380039,-1.759737478,-4.972772284,-6.564424561,-4.060912783
Rv0286,-1.950172742,-1.539159653,-1.883253263,-5.655360796,-6.83539146,-4.036279557
Rv0287,-2.518820981,-1.711118977,-2.501345248,-6.787094306,-7.76787504,-5.250795496
Rv0288,-1.883898514,-1.832439667,-2.37251545,-6.267387825,-6.520103625,-4.808739399
Rv0289,-2.092379542,-1.887799309,-2.520732471,-5.881002195,-5.974865908,-4.214004071
Rv0290,-2.522792812,-2.110067377,-2.648592382,-5.980432643,-6.176773731,-3.922730202
Rv0291,-2.733184024,-2.392870526,-2.803650979,-5.560207527,-5.77921357,-3.636405239
Rv0292,-3.379108056,-2.571213838,-3.405966439,-6.376082808,-7.290332445,-4.769518568
Rv0293c,-1.517493406,-1.929226614,-1.729121656,-1.487848419,-2.932380153,-1.216221191
Rv0294,,,,,,
Rv0295c,,,,-1.018892968,-2.35050122,-1.950837969
Rv0296c,,,,,-1.08976119,-1.361970228
Rv0297,,,,2.167343517,2.026965516,1.787536912
Rv0298,,-1.705790328,,,-1.827647331,-1.807892124
Rv0299,,-1.79623234,,,-2.769132917,-2.269255625
Rv0300,,-1.625906497,,,-2.253431221,-1.876069711
Rv0301,,-1.476884138,,,-2.160497735,
Rv0302,,-1.362481126,,,-1.318786798,
Rv0303,,-1.916381546,-1.362139662,,,
Rv0304c,,-2.12306919,-2.113087153,,-2.16019655,
Rv0305c,,-1.060437335,,,,
Rv0306,,-1.218621451,,,,
Rv0307c,,-1.46915647,-1.774297999,,,-1.404845909
Rv0308,,-1.150128295,,,-2.068453162,-1.442302325
Rv0309,,-1.273083468,,,-1.818351895,-2.099036871
Rv0310c,,-1.883688967,-1.986716474,-1.109059847,-3.41455956,-1.720057973
Rv0311,,,,,-1.159328371,
Rv0312,,-1.492901242,,,-3.97829281,-2.835942011
Rv0313,,,,,,
Rv0314c,,-1.22671311,-1.803042182,,-1.324768631,-2.667477659
Rv0315,,,,,-1.028105658,-1.042249553
Rv0316,,,,,,
Rv0317c,,,,,,
Rv0318c,,,,,,
Rv0319,,-1.151949421,,,,
Rv0320,,-1.676621446,-2.273610738,,,-1.273371931
Rv0321,,,,,-1.283962339,-1.422482595
Rv0322,,,,,,
Rv0323c,,-1.598743274,-1.847693112,,-1.378113886,-2.170755404
Rv0324,,,,,,
Rv0325,,,,,,
Rv0326,,,,,,
Rv0327c,,-1.339618132,,,,
Rv0328,,,,,,
Rv0329c,,-2.437031339,-1.274526465,,-1.625475067,
Rv0330c,,-1.794296614,-1.379838879,,,-1.086684219
Rv0331,,-1.442355687,-1.375174741,1.683956248,,
Rv0332,,-1.306310934,-1.101775707,,,-1.021195355
Rv0333,,-1.501279279,-1.416859583,,,-1.592860096
Rv0334,,-1.150455703,,,-1.341565182,-1.133415479
Rv0335c,,,,,2.130673513,2.687332226
Rv0336,-1.015337664,-1.546181499,,,-1.204956565,
Rv0337c,2.862531152,,1.741322467,,,
Rv0338c,,-1.573687734,,,-1.738855762,-1.672888159
Rv0339c,,-1.005930397,,,,
Rv0340,,,,1.344812846,,
Rv0341,,,2.861493191,2.010399241,1.782349399,
Rv0342,,,2.657792899,,1.400589986,
Rv0343,,,1.10601738,,,
Rv0344c,,-1.10189867,,-1.034189869,-2.321742054,-1.053573303
Rv0345,,,,,,
Rv0346c,-1.498804257,-2.154271883,-2.588328103,-2.708291558,-2.946160301,-3.665213744
Rv0347,,,,,,
Rv0348,,,,,-1.029333797,
Rv0349,,-1.165002225,,-1.034867846,-2.084494785,
Rv0350,-2.54048669,-1.835506438,,-1.944024332,-1.442797802,-1.341663557
Rv0351,-2.823816819,-1.760158881,,-2.681141532,-1.601799709,-1.298725922
Rv0352,-2.314627873,-1.917982711,,-1.866074843,-1.691468289,-1.868922621
Rv0353,-2.091124328,-1.641376796,,-1.780719903,-1.439572913,-2.106196891
Rv0354c,-1.02372249,-2.457601282,-2.917714557,,-1.527570857,-2.728916347
Rv0355c,,-1.944515562,-1.969498374,,-1.64857253,-1.435139866
Rv0356c,,,,,-1.165633631,-1.475980747
Rv0357c,,,,,,
Rv0358,,,,,,
Rv0359,,,,,,
Rv0360c,,-1.667456536,-2.544083683,,1.283767058,
Rv0361,,,,,,
Rv0362,,,,,,
Rv0363c,,-1.086547828,,,,
Rv0364,,-1.203526955,,,-1.315066773,-1.168754609
Rv0365c,,,,,,
Rv0366c,,,,,,2.223997046
Rv0367c,,,,1.360458179,1.36681676,
Rv0368c,,,,,,1.082450637
Rv0369c,,-1.199720534,-1.109399076,,,
Rv0370c,,-1.327562693,,,,
Rv0371c,,-1.314249663,-1.738379036,,,
Rv0372c,,,-1.017265936,,,
Rv0373c,,,-1.268181647,,,
Rv0374c,,,,,,
Rv0375c,,,,,,
Rv0376c,,,-1.048106982,,,
Rv0377,,-1.051833494,-1.211062616,,-1.011828675,
Rv0378,,,,,,
Rv0379,,-1.707114087,-1.76200409,,,-3.234320654
Rv0380c,,-1.865607959,-1.726153625,-1.630716344,-1.718874771,
Rv0381c,,-1.074693447,,-1.186196543,-1.397461487,
Rv0382c,,,,-1.786634583,-1.463280972,
Rv0383c,,-1.211779231,,-1.316210302,-1.469769307,
Rv0384c,,,-1.356556976,,1.524350998,
Rv0385,,,,,,
Rv0386,,-1.119086058,,,,
Rv0387c,,,,,,
Rv0389,,,,,,
Rv0390,,-1.046849496,,,-1.409154949,-1.164436125
Rv0391,,,,-1.628494953,-1.9703307,-1.54298962
Rv0392c,,,,,,-1.107328091
Rv0393,,,,,,2.531265172
Rv0394c,,-1.300224855,-1.489481704,,,-1.30529711
